2011-10-08 10:40:00 Warning: Warning (2): include_once(/Users/rianrainey/htdocs/projects/shortlist2/www/cakephp/config/database.php) [http://php.net/function.include-once]: failed to open stream: No such file or directory in [/Applications/MAMP/htdocs/projects/shortlist2/www/cakephp/cake/libs/model/connection_manager.php, line 23]
2011-10-08 10:40:00 Warning: Warning (2): include_once() [http://php.net/function.include]: Failed opening '/Users/rianrainey/htdocs/projects/shortlist2/www/cakephp/config/database.php' for inclusion (include_path='.:') in [/Applications/MAMP/htdocs/projects/shortlist2/www/cakephp/cake/libs/model/connection_manager.php, line 23]
2011-10-08 10:41:11 Warning: Warning (2): include_once(/Users/rianrainey/htdocs/projects/shortlist2/www/cakephp/config/database.php) [http://php.net/function.include-once]: failed to open stream: No such file or directory in [/Applications/MAMP/htdocs/projects/shortlist2/www/cakephp/cake/libs/model/connection_manager.php, line 23]
2011-10-08 10:41:11 Warning: Warning (2): include_once() [http://php.net/function.include]: Failed opening '/Users/rianrainey/htdocs/projects/shortlist2/www/cakephp/config/database.php' for inclusion (include_path='.:') in [/Applications/MAMP/htdocs/projects/shortlist2/www/cakephp/cake/libs/model/connection_manager.php, line 23]
2011-10-08 10:43:03 Warning: Warning (2): include_once(/Users/rianrainey/htdocs/projects/shortlist2/www/cakephp/config/database.php) [http://php.net/function.include-once]: failed to open stream: No such file or directory in [/Applications/MAMP/htdocs/projects/shortlist2/www/cakephp/cake/libs/model/connection_manager.php, line 23]
2011-10-08 10:43:03 Warning: Warning (2): include_once() [http://php.net/function.include]: Failed opening '/Users/rianrainey/htdocs/projects/shortlist2/www/cakephp/config/database.php' for inclusion (include_path='.:') in [/Applications/MAMP/htdocs/projects/shortlist2/www/cakephp/cake/libs/model/connection_manager.php, line 23]
2011-10-08 10:43:03 Error: Fatal Error (256): ConnectionManager::getDataSource - Non-existent data source default in [/Applications/MAMP/htdocs/projects/shortlist2/www/cakephp/cake/libs/model/connection_manager.php, line 102]
2011-10-08 10:44:19 Warning: Warning (2): include_once(/Users/rianrainey/htdocs/projects/shortlist2/www/cakephp/config/database.php) [http://php.net/function.include-once]: failed to open stream: No such file or directory in [/Applications/MAMP/htdocs/projects/shortlist2/www/cakephp/cake/libs/model/connection_manager.php, line 23]
2011-10-08 10:44:19 Warning: Warning (2): include_once() [http://php.net/function.include]: Failed opening '/Users/rianrainey/htdocs/projects/shortlist2/www/cakephp/config/database.php' for inclusion (include_path='.:') in [/Applications/MAMP/htdocs/projects/shortlist2/www/cakephp/cake/libs/model/connection_manager.php, line 23]
2011-10-08 10:44:19 Error: Fatal Error (256): ConnectionManager::getDataSource - Non-existent data source default in [/Applications/MAMP/htdocs/projects/shortlist2/www/cakephp/cake/libs/model/connection_manager.php, line 102]
2011-10-08 10:44:32 Warning: Warning (2): include_once(/Users/rianrainey/htdocs/projects/shortlist2/www/cakephp/config/database.php) [http://php.net/function.include-once]: failed to open stream: No such file or directory in [/Applications/MAMP/htdocs/projects/shortlist2/www/cakephp/cake/libs/model/connection_manager.php, line 23]
2011-10-08 10:44:32 Warning: Warning (2): include_once() [http://php.net/function.include]: Failed opening '/Users/rianrainey/htdocs/projects/shortlist2/www/cakephp/config/database.php' for inclusion (include_path='.:') in [/Applications/MAMP/htdocs/projects/shortlist2/www/cakephp/cake/libs/model/connection_manager.php, line 23]
2011-10-08 10:53:45 Warning: Warning (2): include_once(/Users/rianrainey/htdocs/projects/shortlist2/www/cakephp/config/database.php) [http://php.net/function.include-once]: failed to open stream: No such file or directory in [/Applications/MAMP/htdocs/projects/shortlist2/www/cakephp/cake/libs/model/connection_manager.php, line 23]
2011-10-08 10:53:45 Warning: Warning (2): include_once() [http://php.net/function.include]: Failed opening '/Users/rianrainey/htdocs/projects/shortlist2/www/cakephp/config/database.php' for inclusion (include_path='.:') in [/Applications/MAMP/htdocs/projects/shortlist2/www/cakephp/cake/libs/model/connection_manager.php, line 23]
2011-10-08 16:05:43 Warning: Warning (2): include_once(/Users/rianrainey/htdocs/projects/shortlist2/config/database.php) [http://php.net/function.include-once]: failed to open stream: No such file or directory in [/Applications/MAMP/htdocs/projects/shortlist2/www/cakephp/cake/libs/model/connection_manager.php, line 23]
2011-10-08 16:05:43 Warning: Warning (2): include_once() [http://php.net/function.include]: Failed opening '/Users/rianrainey/htdocs/projects/shortlist2/config/database.php' for inclusion (include_path='.:') in [/Applications/MAMP/htdocs/projects/shortlist2/www/cakephp/cake/libs/model/connection_manager.php, line 23]
2011-10-08 16:09:22 Warning: Warning (2): include_once(/Users/rianrainey/htdocs/projects/shortlist2/config/database.php) [http://php.net/function.include-once]: failed to open stream: No such file or directory in [/Applications/MAMP/htdocs/projects/shortlist2/www/cakephp/cake/libs/model/connection_manager.php, line 23]
2011-10-08 16:09:22 Warning: Warning (2): include_once() [http://php.net/function.include]: Failed opening '/Users/rianrainey/htdocs/projects/shortlist2/config/database.php' for inclusion (include_path='.:') in [/Applications/MAMP/htdocs/projects/shortlist2/www/cakephp/cake/libs/model/connection_manager.php, line 23]
